model,storage,sell_low,sell_high,days,source
iPhone 12,128,1248,1352,18,华强北参考(合成)
iPhone 12 mini,128,1104,1196,24,华强北参考(合成)
iPhone 12 Pro,128,1440,1560,21,华强北参考(合成)
iPhone 12 Pro Max,128,1632,1768,21,华强北参考(合成)
iPhone 13,128,1632,1768,12,华强北参考(合成)
iPhone 13 mini,128,1392,1508,16,华强北参考(合成)
iPhone 13 Pro,128,2112,2288,10,华强北参考(合成)
iPhone 13 Pro Max,128,2496,2704,10,华强北参考(合成)
iPhone 14,128,2256,2444,9,华强北参考(合成)
iPhone 14 Plus,128,2544,2756,11,华强北参考(合成)
iPhone 14 Pro,128,3024,3276,8,华强北参考(合成)
iPhone 14 Pro Max,128,3456,3744,8,华强北参考(合成)
iPhone 15,128,3072,3328,7,华强北参考(合成)
iPhone 15 Plus,128,3408,3692,8,华强北参考(合成)
iPhone 15 Pro,128,3984,4316,7,华强北参考(合成)
iPhone 15 Pro Max,128,4800,5200,7,华强北参考(合成)
iPhone 15 Pro Max,256,5050,5550,7,华强北参考(合成)
iPhone 14 Pro Max,256,3600,3950,8,华强北参考(合成)
iPhone 13,256,1700,1870,12,华强北参考(合成)
